id,name,link
39HG6aRDNtGYtIStARx2PG,Top US Singles: 2004-2005,https://open.spotify.com/playlist/39HG6aRDNtGYtIStARx2PG
3E1sBE5Y5kyV1IIpN5yrSj,Top US Singles: 2005-2006,https://open.spotify.com/playlist/3E1sBE5Y5kyV1IIpN5yrSj
49uPOu4DKtdCrAbr4Au6Yp,Top US Singles: 2006-2007,https://open.spotify.com/playlist/49uPOu4DKtdCrAbr4Au6Yp
59OH6QeB3tev7WzhVeTBk3,Top US Singles: 2007-2008,https://open.spotify.com/playlist/59OH6QeB3tev7WzhVeTBk3
3R1rMdQlW22V5WZl4TfxCK,Top US Singles: 2008-2009,https://open.spotify.com/playlist/3R1rMdQlW22V5WZl4TfxCK
4HZZNwmbVHlx5DEYYdrgIm,Top US Singles: 2009-2010,https://open.spotify.com/playlist/4HZZNwmbVHlx5DEYYdrgIm
1CmFUbdZWKp2ogenVFIyVa,Top US Singles: 2010-2011,https://open.spotify.com/playlist/1CmFUbdZWKp2ogenVFIyVa
2RKU7E6pBvLIyWDpo0Ay9w,Top US Singles: 2011-2012,https://open.spotify.com/playlist/2RKU7E6pBvLIyWDpo0Ay9w
1jpQ87cPBAUeuPqqb00WAs,Top US Singles: 2012-2013,https://open.spotify.com/playlist/1jpQ87cPBAUeuPqqb00WAs
3J4mn9pnL5TvWbPGg9zl9i,Top US Singles: 2013-2014,https://open.spotify.com/playlist/3J4mn9pnL5TvWbPGg9zl9i
6sd3AiSFhB5IcUmfpagJoP,Top US Singles: 2014-2015,https://open.spotify.com/playlist/6sd3AiSFhB5IcUmfpagJoP
1WabUmY2SByAhfvICTJIO4,Top US Singles: 2015-2016,https://open.spotify.com/playlist/1WabUmY2SByAhfvICTJIO4
0koFfeg3kvkB7bkfzUGk1l,Top US Singles: 2016-2017,https://open.spotify.com/playlist/0koFfeg3kvkB7bkfzUGk1l
6r07p1aKHxlPKJ6avzuo1E,Top US Singles: 2017-2018,https://open.spotify.com/playlist/6r07p1aKHxlPKJ6avzuo1E
1excbjvFYaIuE58CL1kZwA,Top US Singles: 2018-2019,https://open.spotify.com/playlist/1excbjvFYaIuE58CL1kZwA
6jmvH28gDUC6EkQayW6PEE,Top US Singles: 2019-2020,https://open.spotify.com/playlist/6jmvH28gDUC6EkQayW6PEE
1KXyca4Nm9CLkQrGB05nAW,Top US Singles: 2020-2021,https://open.spotify.com/playlist/1KXyca4Nm9CLkQrGB05nAW
3F7jgnLHEozgfhf3RjLC1U,Top US Singles: 2021-2022,https://open.spotify.com/playlist/3F7jgnLHEozgfhf3RjLC1U
4pcLpEBLrwTKhrn0aeUKsK,Top US Singles: 1958-1960,https://open.spotify.com/playlist/4pcLpEBLrwTKhrn0aeUKsK
3u1FIK9lt218kjUBGJ3mFS,Top US Singles: 1959-1961,https://open.spotify.com/playlist/3u1FIK9lt218kjUBGJ3mFS
1Nsh1rbCt7xmBqGUxOpxfd,Top US Singles: 1960-1962,https://open.spotify.com/playlist/1Nsh1rbCt7xmBqGUxOpxfd
6LfH9jwR4o3Y7xfmtFeAwG,Top US Singles: 1961-1963,https://open.spotify.com/playlist/6LfH9jwR4o3Y7xfmtFeAwG
2tbgCqfkE91frFDoZyoUpu,Top US Singles: 1962-1964,https://open.spotify.com/playlist/2tbgCqfkE91frFDoZyoUpu
7nOPjmkYdvUmeItSvOO5WV,Top US Singles: 1963-1965,https://open.spotify.com/playlist/7nOPjmkYdvUmeItSvOO5WV
2v3KInLZL7ciNKo7gCmOr6,Top US Singles: 1964-1966,https://open.spotify.com/playlist/2v3KInLZL7ciNKo7gCmOr6
4zXWiVcrQOy6OjvyDLBFOJ,Top US Singles: 1965-1967,https://open.spotify.com/playlist/4zXWiVcrQOy6OjvyDLBFOJ
4Y3Wosg8NXtbh1kiQYsAhQ,Top US Singles: 1966-1968,https://open.spotify.com/playlist/4Y3Wosg8NXtbh1kiQYsAhQ
6IIY5esHlq4a0Twxq2AryX,Top US Singles: 1967-1969,https://open.spotify.com/playlist/6IIY5esHlq4a0Twxq2AryX
4Pi7x76tmCH0VSKBoB9UIM,Top US Singles: 1968-1970,https://open.spotify.com/playlist/4Pi7x76tmCH0VSKBoB9UIM
1PY1rajp6auWp1FxUubFUy,Top US Singles: 1969-1971,https://open.spotify.com/playlist/1PY1rajp6auWp1FxUubFUy
1zubsDoP0Hl5Mh79CPk0GU,Top US Singles: 1970-1972,https://open.spotify.com/playlist/1zubsDoP0Hl5Mh79CPk0GU
3nrphdjkopr0BQUrMGbJIc,Top US Singles: 1971-1973,https://open.spotify.com/playlist/3nrphdjkopr0BQUrMGbJIc
4e4THOU0FhDjyMf6LA4t6q,Top US Singles: 1972-1974,https://open.spotify.com/playlist/4e4THOU0FhDjyMf6LA4t6q
3De8lDpQBCqPQzcdEB9AYH,Top US Singles: 1973-1975,https://open.spotify.com/playlist/3De8lDpQBCqPQzcdEB9AYH
6Rcpoyyusdr9DpUiuz3ntS,Top US Singles: 1974-1976,https://open.spotify.com/playlist/6Rcpoyyusdr9DpUiuz3ntS
6GY6fjYDE0Zn0PBprePXJZ,Top US Singles: 1975-1977,https://open.spotify.com/playlist/6GY6fjYDE0Zn0PBprePXJZ
12xaU2S9diORnaYGtPfV7m,Top US Singles: 1976-1978,https://open.spotify.com/playlist/12xaU2S9diORnaYGtPfV7m
6Q045sYmg69B93W57jjHCg,Top US Singles: 1977-1979,https://open.spotify.com/playlist/6Q045sYmg69B93W57jjHCg
0p8Zaj9kJ1y6f12y1p7aHe,Top US Singles: 1978-1980,https://open.spotify.com/playlist/0p8Zaj9kJ1y6f12y1p7aHe
7fHT4QHqYgEnLQLQ0nz5vp,Top US Singles: 1979-1981,https://open.spotify.com/playlist/7fHT4QHqYgEnLQLQ0nz5vp
5veFFvXNdL8VwFlJy2TJV8,Top US Singles: 1980-1982,https://open.spotify.com/playlist/5veFFvXNdL8VwFlJy2TJV8
6vTZgrzqLUywZqbJ9KCQRZ,Top US Singles: 1981-1983,https://open.spotify.com/playlist/6vTZgrzqLUywZqbJ9KCQRZ
6U9u1QxzvUbfFtkTVa9kUT,Top US Singles: 1982-1984,https://open.spotify.com/playlist/6U9u1QxzvUbfFtkTVa9kUT
3DVyYVqBxLkEunDsiFH7rC,Top US Singles: 1983-1985,https://open.spotify.com/playlist/3DVyYVqBxLkEunDsiFH7rC
7IVKwMUtIsznWzFvSJW7oE,Top US Singles: 1984-1986,https://open.spotify.com/playlist/7IVKwMUtIsznWzFvSJW7oE
0nu7r2DkRLRm9DQ4sBeB5P,Top US Singles: 1985-1987,https://open.spotify.com/playlist/0nu7r2DkRLRm9DQ4sBeB5P
7G1XeGiLk3BezomuBCS1gG,Top US Singles: 1986-1988,https://open.spotify.com/playlist/7G1XeGiLk3BezomuBCS1gG
5zrLKJ0mppaniXk8kreMwe,Top US Singles: 1987-1989,https://open.spotify.com/playlist/5zrLKJ0mppaniXk8kreMwe
4DOFpWKV6BGhT1XQ2ij4tU,Top US Singles: 1988-1990,https://open.spotify.com/playlist/4DOFpWKV6BGhT1XQ2ij4tU
5SkjL5as3emHr9ZlLvRrBB,Top US Singles: 1989-1991,https://open.spotify.com/playlist/5SkjL5as3emHr9ZlLvRrBB
2Zagdtbe48YzNpJEcHGwGc,Top US Singles: 1990-1992,https://open.spotify.com/playlist/2Zagdtbe48YzNpJEcHGwGc
5abMRmlH1A8Lg5ihhl18MK,Top US Singles: 1991-1993,https://open.spotify.com/playlist/5abMRmlH1A8Lg5ihhl18MK
2orR7lay7742zdssQhUuRm,Top US Singles: 1992-1994,https://open.spotify.com/playlist/2orR7lay7742zdssQhUuRm
1xW1d3ZTnalRbTEIJg9sME,Top US Singles: 1993-1995,https://open.spotify.com/playlist/1xW1d3ZTnalRbTEIJg9sME
4PwTEwWME7jGWmtpsNWuxj,Top US Singles: 1994-1996,https://open.spotify.com/playlist/4PwTEwWME7jGWmtpsNWuxj
1DkrwnAlh3SpFFdYKFa2ID,Top US Singles: 1995-1997,https://open.spotify.com/playlist/1DkrwnAlh3SpFFdYKFa2ID
2GyJL82mQ7KZXeWV1MQbSx,Top US Singles: 1996-1998,https://open.spotify.com/playlist/2GyJL82mQ7KZXeWV1MQbSx
1W1E4CKgG2RIogS9rDZBMm,Top US Singles: 1997-1999,https://open.spotify.com/playlist/1W1E4CKgG2RIogS9rDZBMm
5BsiAKwfdl9mUO5d0d90Jp,Top US Singles: 1998-2000,https://open.spotify.com/playlist/5BsiAKwfdl9mUO5d0d90Jp
12cPzduNcaEo0k3z240alS,Top US Singles: 1999-2001,https://open.spotify.com/playlist/12cPzduNcaEo0k3z240alS
2h0HbU53zgO7TFsfusODa3,Top US Singles: 2000-2002,https://open.spotify.com/playlist/2h0HbU53zgO7TFsfusODa3
3h8LWuNpumkUfpT4i3R3pO,Top US Singles: 2001-2003,https://open.spotify.com/playlist/3h8LWuNpumkUfpT4i3R3pO
5Hgw7KgsZMqx48VNfrwO3F,Top US Singles: 2002-2004,https://open.spotify.com/playlist/5Hgw7KgsZMqx48VNfrwO3F
5XjGQtt2HffTR9oF39Os7v,Top US Singles: 2003-2005,https://open.spotify.com/playlist/5XjGQtt2HffTR9oF39Os7v
2YQBhnpLWyyF0JlSbYtFJD,Top US Singles: 2004-2006,https://open.spotify.com/playlist/2YQBhnpLWyyF0JlSbYtFJD
7I6mzWjsfHzOQCOBN2FgYN,Top US Singles: 2005-2007,https://open.spotify.com/playlist/7I6mzWjsfHzOQCOBN2FgYN
7q0Y1nxx1SnKQKHiWuU0o6,Top US Singles: 2006-2008,https://open.spotify.com/playlist/7q0Y1nxx1SnKQKHiWuU0o6
3xkUonPrJvD9l4W9a6oN5q,Top US Singles: 2007-2009,https://open.spotify.com/playlist/3xkUonPrJvD9l4W9a6oN5q
0a5tea8RybfWd99tI7vSuU,Top US Singles: 2008-2010,https://open.spotify.com/playlist/0a5tea8RybfWd99tI7vSuU
4kpIPUk2RA3n3ZEBhAHe2R,Top US Singles: 2009-2011,https://open.spotify.com/playlist/4kpIPUk2RA3n3ZEBhAHe2R
2i0vU6f1axJXOpUEwHbkd9,Top US Singles: 2010-2012,https://open.spotify.com/playlist/2i0vU6f1axJXOpUEwHbkd9
2sdDJcEk96eC992g2DPFNq,Top US Singles: 2011-2013,https://open.spotify.com/playlist/2sdDJcEk96eC992g2DPFNq
71jkVTIlVrC0JzkoduZGGj,Top US Singles: 2012-2014,https://open.spotify.com/playlist/71jkVTIlVrC0JzkoduZGGj
7DXqW6b8KdAwCI2qPgA0uK,Top US Singles: 2013-2015,https://open.spotify.com/playlist/7DXqW6b8KdAwCI2qPgA0uK
0uuFKCegZWWWAjAEKqX2c9,Top US Singles: 2014-2016,https://open.spotify.com/playlist/0uuFKCegZWWWAjAEKqX2c9
6H8fcErpPuXAgmFwLeTNK1,Top US Singles: 2015-2017,https://open.spotify.com/playlist/6H8fcErpPuXAgmFwLeTNK1
6fwL50vBZlqOE4EFucOAh7,Top US Singles: 2016-2018,https://open.spotify.com/playlist/6fwL50vBZlqOE4EFucOAh7
5ab8y0CPRZao2E2yPBvK9J,Top US Singles: 2017-2019,https://open.spotify.com/playlist/5ab8y0CPRZao2E2yPBvK9J
6y8JKcj8JRkcDQ5te5gj8S,Top US Singles: 2018-2020,https://open.spotify.com/playlist/6y8JKcj8JRkcDQ5te5gj8S
0THzs9dr6lL8BvN2bmVw6i,Top US Singles: 2019-2021,https://open.spotify.com/playlist/0THzs9dr6lL8BvN2bmVw6i
5dwrMbmMyPQ9LyVjRzFxD2,Top US Singles: 2020-2022,https://open.spotify.com/playlist/5dwrMbmMyPQ9LyVjRzFxD2
3MIl4oqNf4rSej8C0Y9o7G,Top US Singles: 1958-1961,https://open.spotify.com/playlist/3MIl4oqNf4rSej8C0Y9o7G
6ERNiBBZ8qe6WAiePwgtiN,Top US Singles: 1959-1962,https://open.spotify.com/playlist/6ERNiBBZ8qe6WAiePwgtiN
4WaJ0tGsBVyohVBKevcWzJ,Top US Singles: 1960-1963,https://open.spotify.com/playlist/4WaJ0tGsBVyohVBKevcWzJ
6Dmhp8rDIJ4jfjElxk6dyX,Top US Singles: 1961-1964,https://open.spotify.com/playlist/6Dmhp8rDIJ4jfjElxk6dyX
13YlqNC71tQfJW1vGmc7ej,Top US Singles: 1962-1965,https://open.spotify.com/playlist/13YlqNC71tQfJW1vGmc7ej
